gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
0.457242,2.454068,1.745895,0.363457,1.957105,1.721361,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.707258,4.000183,1.317402,0.459742,2.469529,1.74161,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.774156,4.000183,1.02881,0.707927,4.000183,1.314516,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.634133,4.000183,1.125862,0.772756,4.000183,1.029781,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.524385,4.000183,1.195324,0.633036,4.000183,1.126557,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.471159,3.776903,0.88134,0.523853,3.99795,1.192184,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.457975,3.465361,0.786608,0.471027,3.773788,0.880393,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.452115,3.39541,0.770494,0.457916,3.464661,0.786447,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.401941,2.479949,0.731429,0.451613,3.386255,0.770103,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.273149,1.893243,0.864738,0.400653,2.474082,0.732762,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.232131,1.70915,0.949948,0.272739,1.891402,0.86559,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.182567,1.313129,1.019044,0.231635,1.70519,0.950639,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.132515,0.873161,1.011719,0.182066,1.308729,1.018971,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.066593,-0.043887,0.832021,0.131856,0.863991,1.009922,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.037295,-0.466886,0.454923,0.0663,-0.048117,0.82825,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.015565,-0.690899,0.251175,0.037078,-0.469126,0.452886,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.055973,-1.03174,-0.173656,0.01485,-0.694307,0.246927,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.092352,-1.162363,-0.245437,-0.056337,-1.033046,-0.174374,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.091864,-1.234145,-0.260331,-0.092347,-1.163081,-0.245586,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.121162,-1.424342,-0.474944,-0.092157,-1.236047,-0.262477,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.181957,-1.736617,-0.328939,-0.12177,-1.427465,-0.473484,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.225172,-1.816944,-0.162424,-0.182389,-1.73742,-0.327274,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.175609,-1.765183,0.14863,-0.224676,-1.816426,-0.159313,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.0141,-1.578649,0.207959,-0.173712,-1.763318,0.149223,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.391564,-0.847403,0.129341,0.017875,-1.571337,0.207173,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.577611,-0.074895,0.328572,0.393424,-0.839678,0.131333,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.529268,0.307453,0.464079,0.577128,-0.071072,0.329927,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.376427,0.622291,0.755967,0.52774,0.310601,0.466998,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.150095,0.904779,1.207654,0.374164,0.625116,0.760484,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.15278,1.967466,1.516633,0.150122,0.915406,1.210744,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
