gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
0.579808,1.706464,3.006958,0.716657,0.540231,2.950595,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.141793,2.97241,2.794787,0.557907,1.769761,2.996349,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.009583,4.000183,2.852652,0.134224,3.023799,2.79768,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.110297,4.000183,2.253006,-0.003589,4.000183,2.82267,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.211744,3.246109,0.765367,0.094195,3.962479,2.178624,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.447842,2.357871,0.905268,-0.223549,3.201697,0.772362,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.519136,1.609534,1.160166,-0.451407,2.320454,0.918013,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.501679,1.161387,1.187878,-0.518263,1.587127,1.161552,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.36312,1.215223,0.841055,-0.494751,1.164079,1.170537,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.080632,1.796069,0.556614,-0.348996,1.244265,0.826833,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.060734,2.036684,0.313557,-0.073564,1.8081,0.544461,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.320027,2.218458,-0.101386,0.073699,2.045773,0.29281,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.510957,2.152536,-0.343832,0.329573,2.215162,-0.113508,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.634255,1.922786,-0.571873,0.517122,2.141048,-0.355234,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.678691,1.652506,-0.606788,0.636477,1.909272,-0.573619,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.561008,1.067265,-0.294024,0.672807,1.623244,-0.59115,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.485442,0.66453,0.25325,0.55723,1.047128,-0.26666,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.450894,0.58164,0.345907,0.483715,0.660385,0.257883,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.188915,0.10163,0.819081,0.437795,0.55764,0.369566,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.041079,-0.277788,0.836416,0.177415,0.082659,0.819948,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.686871,-1.851859,-0.062809,-0.073369,-0.356492,0.791455,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.819935,-3.359031,-0.787463,-0.693524,-1.927218,-0.099042,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.593115,-2.849234,-0.337484,-0.808594,-3.333541,-0.764964,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.481292,-2.470427,0.185253,-0.587524,-2.830294,-0.311347,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.416346,-2.228957,0.612769,-0.478045,-2.458354,0.206629,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.288775,-0.180614,2.868278,-0.38109,-2.12654,0.725544,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.439663,1.320942,3.225722,0.296319,-0.105536,2.88615,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.125435,4.000183,3.219374,0.423952,1.454904,3.225405,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.23677,4.000183,2.677348,0.131002,4.000183,3.192273,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.18745,4.000183,1.49295,0.234304,4.000183,2.618128,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.019105,3.000244,0.094671,0.177122,3.950186,1.423036,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.634621,0.95007,1.349142,-0.049881,2.897735,0.157395,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.662699,1.066532,1.926814,-0.636025,0.955893,1.378026,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.540133,1.325337,1.906305,-0.656571,1.079472,1.925789,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.437588,1.518464,1.495636,-0.535006,1.334993,1.885772,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.032045,2.048526,0.757065,-0.417311,1.544967,1.458707,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.323689,2.398889,0.202832,-0.014258,2.066044,0.729353,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.544406,2.502899,-0.324055,0.334725,2.404089,0.176488,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.687481,2.413416,-0.900018,0.55156,2.498425,-0.352853,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.807605,1.630043,-1.465727,0.693487,2.374247,-0.928303,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.797961,1.332052,-1.272722,0.807123,1.615143,-1.456077,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.619606,0.687603,-0.094061,0.789043,1.29983,-1.213789,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.220411,0.38485,0.449673,0.599646,0.672465,-0.066874,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.026796,0.129219,0.657694,0.21073,0.372068,0.460074,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.206617,-0.151193,0.678203,0.015125,0.115198,0.658719,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.685528,-1.007447,0.530977,-0.230563,-0.194006,0.670842,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.931514,-2.140939,0.029604,-0.697827,-1.064122,0.505908,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.945187,-3.042361,-0.953488,-0.932198,-2.18601,-0.019551,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.830068,-3.017213,-0.89599,-0.939431,-3.041104,-0.950613,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.02411,-1.758591,0.892327,-0.787359,-2.954282,-0.806574,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.13105,-0.915034,1.663126,0.029457,-1.716413,0.930867,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.174388,-0.172069,2.272172,0.133217,-0.877886,1.693578,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.034975,1.463407,2.919551,0.16392,-0.090295,2.304541,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.267655,3.643838,2.958127,-0.046609,1.572429,2.92148,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.064762,4.000183,2.234694,-0.25751,3.661655,2.921955,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.164256,2.690289,0.619972,-0.069737,3.934688,2.153958,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.354331,1.980407,0.457975,-0.17376,2.654795,0.611872,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.530855,1.683025,1.232436,-0.363157,1.965538,0.496698,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.530367,1.773363,1.459257,-0.530831,1.687542,1.243777,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.520845,1.790209,1.485503,-0.529891,1.774205,1.460569,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.32845,1.863212,1.399927,-0.511225,1.793859,1.481224,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.166819,2.038516,1.074467,-0.320368,1.871977,1.383654,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.133492,2.275835,0.384484,-0.151803,2.050382,1.039968,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.326375,2.284624,0.122505,0.143136,2.276274,0.371385,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.655252,2.006775,-0.639993,0.342819,2.270732,0.08438,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.661967,1.669841,-0.88134,0.655588,1.989928,-0.65206,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.611549,1.121711,-0.702985,0.659446,1.642434,-0.872422,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.140084,0.261552,0.929073,0.587976,1.078703,-0.621382,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.107123,0.137032,0.967771,0.138436,0.255326,0.931008,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.016053,-0.157419,1.05347,0.10257,0.122309,0.972056,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.570408,-1.834524,0.857413,-0.01327,-0.241274,1.043667,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.92834,-3.246963,0.185985,-0.588305,-1.905146,0.823842,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-1.009644,-3.889703,-1.029055,-0.932405,-3.2791,0.125233,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
-0.815663,-3.559116,-1.387719,-0.999945,-3.873174,-1.046988,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
-0.059635,-2.26204,0.114204,-0.777862,-3.494262,-1.312623,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
0.333211,-1.587194,0.835195,-0.039993,-2.228298,0.150254,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
0.545016,-0.074528,2.179027,0.343801,-1.511561,0.902387,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
0.416957,0.422694,2.365562,0.538613,-0.049667,2.188354,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
-0.296466,1.986022,2.426845,0.381286,0.50086,2.368626,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
-0.570897,3.646036,2.916133,-0.310188,2.069023,2.451309,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
-0.235183,2.481658,0.928951,-0.554111,3.587817,2.816774,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
-0.326009,1.827565,0.526582,-0.239724,2.448953,0.908833,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
-0.589941,1.662028,1.70683,-0.339206,1.819288,0.585594,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
-0.681377,1.786181,1.955869,-0.594513,1.668236,1.719282,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
-0.62046,2.1269,1.669719,-0.678331,1.803217,1.941561,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
-0.25203,2.514375,1.270768,-0.602038,2.146274,1.649771,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
-0.089178,2.741928,0.863883,-0.243887,2.525753,1.250424,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
0.366172,2.80492,-0.04523,-0.06641,2.745078,0.818427,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
0.620826,2.620582,-0.190258,0.378905,2.795703,-0.052481,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
0.867668,2.036562,-0.444424,0.633168,2.591381,-0.202966,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
0.866447,1.771898,-0.385583,0.867607,2.023329,-0.441482,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
0.773912,1.376854,0.567723,0.86182,1.752146,-0.337918,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
0.710554,1.325459,0.957517,0.770744,1.374284,0.587213,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
0.548434,1.161997,1.611732,0.702448,1.317286,0.990228,1.319111,-1.234511,4.000183,-3.889703,3.636147,-2.118354
